season,round,race_name,driver,team,grid_position,race_laps,suggested_pit_lap,pit_window_start,pit_window_end,event_degradation_sec_per_lap,strategy_time_score_seconds,baseline_finish_prediction,optimized_rank_score,predicted_finishing_position
2025,5,Saudi Arabian Grand Prix,PIA,McLaren,2,50,25,24,26,0.336760869565218,221.772,2.1399703092314133,14.460629045882845,1
2025,5,Saudi Arabian Grand Prix,LEC,Ferrari,4,50,25,24,26,0.336760869565218,222.93,2.5509752836599375,14.935961505691488,2
2025,5,Saudi Arabian Grand Prix,VER,Red Bull,1,50,25,24,26,0.336760869565218,221.193,3.3404030589231675,15.628898052884539,3
2025,5,Saudi Arabian Grand Prix,RUS,Mercedes,3,50,25,24,26,0.336760869565218,222.351,3.9465179229821934,16.299340402323683,4
2025,5,Saudi Arabian Grand Prix,NOR,McLaren,10,50,25,24,26,0.336760869565218,226.403,5.215904718939593,17.793873397111494,5
2025,5,Saudi Arabian Grand Prix,ANT,Mercedes,5,50,25,24,26,0.336760869565218,223.509,5.458287855505627,17.875437820227233,6
2025,5,Saudi Arabian Grand Prix,SAI,Williams,6,50,25,24,26,0.336760869565218,224.088,7.628826120096583,20.07813982750825,7
2025,5,Saudi Arabian Grand Prix,HAM,Ferrari,7,50,25,24,26,0.336760869565218,224.667,7.713348929071916,20.19482637917364,8
2025,5,Saudi Arabian Grand Prix,ALB,Williams,11,50,25,24,26,0.336760869565218,226.982,10.933627980899528,23.543760401761485,9
2025,5,Saudi Arabian Grand Prix,ALO,Aston Martin,13,50,25,24,26,0.336760869565218,228.14,11.64206960758663,24.316529513828705,10
2025,5,Saudi Arabian Grand Prix,LAW,RB F1 Team,12,50,25,24,26,0.336760869565218,227.561,12.445480503396997,25.08777666694901,11
2025,5,Saudi Arabian Grand Prix,HAD,RB F1 Team,14,50,25,24,26,0.336760869565218,228.719,12.514865592695198,25.22148924162733,12
2025,5,Saudi Arabian Grand Prix,BEA,Haas F1 Team,15,50,25,24,26,0.336760869565218,229.298,13.120472440855089,25.859259832477278,13
2025,5,Saudi Arabian Grand Prix,OCO,Haas F1 Team,19,50,25,24,26,0.336760869565218,231.614,14.720356243862593,27.587798606245016,14
2025,5,Saudi Arabian Grand Prix,TSU,Red Bull,8,50,25,24,26,0.336760869565218,225.246,15.25774600466052,27.771387197452302,15
2025,5,Saudi Arabian Grand Prix,STR,Aston Martin,16,50,25,24,26,0.336760869565218,229.877,15.67419937636306,28.445150510675308,16
2025,5,Saudi Arabian Grand Prix,HUL,Sauber,18,50,25,24,26,0.336760869565218,231.035,15.917303221324973,28.75258184101734,17
2025,5,Saudi Arabian Grand Prix,DOO,Alpine F1 Team,17,50,25,24,26,0.336760869565218,230.456,16.28050147104405,29.08361634804636,18
2025,5,Saudi Arabian Grand Prix,BOR,Sauber,20,50,25,24,26,0.336760869565218,232.193,16.854366304045293,29.75397240911778,19
2025,5,Saudi Arabian Grand Prix,GAS,Alpine F1 Team,9,50,25,24,26,0.336760869565218,225.824,17.211266819458693,29.757071754940533,20
