season,round,race_date,race_name,circuit,driver,team,grid_position,finish_position,points
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,VET,Ferrari,3,1,25.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,HAM,Mercedes,1,2,18.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,RAI,Ferrari,2,3,15.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,RIC,Red Bull,8,4,12.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,ALO,McLaren,10,5,10.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,VER,Red Bull,4,6,8.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,HUL,Renault,7,7,6.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,BOT,Mercedes,15,8,4.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,VAN,McLaren,11,9,2.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,SAI,Renault,9,10,1.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,PER,Force India,12,11,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,OCO,Force India,14,12,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,LEC,Sauber,18,13,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,STR,Williams,13,14,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,HAR,Toro Rosso,16,15,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,GRO,Haas F1 Team,6,16,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,MAG,Haas F1 Team,5,17,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,GAS,Toro Rosso,20,18,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,ERI,Sauber,17,19,0.0
2018,1,2018-03-25,Australian Grand Prix,Albert Park Grand Prix Circuit,SIR,Williams,19,20,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,VET,Ferrari,1,1,25.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,BOT,Mercedes,3,2,18.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,9,3,15.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,GAS,Toro Rosso,5,4,12.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,6,5,10.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,HUL,Renault,7,6,8.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,ALO,McLaren,13,7,6.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,VAN,McLaren,14,8,4.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,ERI,Sauber,17,9,2.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,OCO,Force India,8,10,1.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,SAI,Renault,10,11,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,LEC,Sauber,19,12,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,GRO,Haas F1 Team,16,13,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,STR,Williams,20,14,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,SIR,Williams,18,15,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,PER,Force India,12,16,0.0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain International Circuit,HAR,Toro Rosso,11,17,0.0
