season,round,event_date,event_name,country,location,event_format,driver,driver_number,team,grid_position,finish_position,points,status,winner,podium
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VET,5,Ferrari,3.0,1.0,25.0,Finished,1,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HAM,44,Mercedes,1.0,2.0,18.0,Finished,0,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,RAI,7,Ferrari,2.0,3.0,15.0,Finished,0,1
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,RIC,3,Red Bull,8.0,4.0,12.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,ALO,14,McLaren,10.0,5.0,10.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VER,3,Red Bull,4.0,6.0,8.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HUL,27,Renault,7.0,7.0,6.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,BOT,77,Mercedes,15.0,8.0,4.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,VAN,2,McLaren,11.0,9.0,2.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,SAI,55,Renault,9.0,10.0,1.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,PER,11,Force India,12.0,11.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,OCO,31,Force India,14.0,12.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,LEC,16,Sauber,18.0,13.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,STR,18,Williams,13.0,14.0,0.0,Finished,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,HAR,28,Toro Rosso,16.0,15.0,0.0,+1 Lap,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,GRO,8,Haas F1 Team,6.0,16.0,0.0,Wheel,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,MAG,20,Haas F1 Team,5.0,17.0,0.0,Wheel,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,GAS,10,Toro Rosso,20.0,18.0,0.0,Engine,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,ERI,9,Sauber,17.0,19.0,0.0,Steering,0,0
2018,1,2018-03-25,Australian Grand Prix,Australia,Melbourne,conventional,SIR,35,Williams,19.0,20.0,0.0,Brakes,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VET,5,Ferrari,1.0,1.0,25.0,Finished,1,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,BOT,77,Mercedes,3.0,2.0,18.0,Finished,0,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HAM,44,Mercedes,9.0,3.0,15.0,Finished,0,1
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GAS,10,Toro Rosso,5.0,4.0,12.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,MAG,20,Haas F1 Team,6.0,5.0,10.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HUL,27,Renault,7.0,6.0,8.0,Finished,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,ALO,14,McLaren,13.0,7.0,6.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VAN,2,McLaren,14.0,8.0,4.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,ERI,9,Sauber,17.0,9.0,2.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,OCO,31,Force India,8.0,10.0,1.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,SAI,55,Renault,10.0,11.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,LEC,16,Sauber,19.0,12.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,GRO,8,Haas F1 Team,16.0,13.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,STR,18,Williams,20.0,14.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,SIR,35,Williams,18.0,15.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,PER,11,Force India,12.0,16.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,HAR,28,Toro Rosso,11.0,17.0,0.0,+1 Lap,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RAI,7,Ferrari,2.0,18.0,0.0,Wheel,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,VER,3,Red Bull,15.0,19.0,0.0,Puncture,0,0
2018,2,2018-04-08,Bahrain Grand Prix,Bahrain,Sakhir,conventional,RIC,3,Red Bull,4.0,20.0,0.0,Electrical,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,RIC,3,Red Bull,6.0,1.0,25.0,Finished,1,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,BOT,77,Mercedes,3.0,2.0,18.0,Finished,0,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,RAI,7,Ferrari,2.0,3.0,15.0,Finished,0,1
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,HAM,44,Mercedes,4.0,4.0,12.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VER,3,Red Bull,5.0,5.0,10.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,HUL,27,Renault,7.0,6.0,8.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,ALO,14,McLaren,13.0,7.0,6.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VET,5,Ferrari,1.0,8.0,4.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,SAI,55,Renault,9.0,9.0,2.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,MAG,20,Haas F1 Team,11.0,10.0,1.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,OCO,31,Force India,12.0,11.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,PER,11,Force India,8.0,12.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,VAN,2,McLaren,14.0,13.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,STR,18,Williams,18.0,14.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,SIR,35,Williams,16.0,15.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,ERI,9,Sauber,20.0,16.0,0.0,Finished,0,0
2018,3,2018-04-15,Chinese Grand Prix,China,Shanghai,conventional,GRO,8,Haas F1 Team,10.0,17.0,0.0,Finished,0,0
