season,round,driver,quali_lap_count,quali_best_lap,quali_median_lap,quali_top3_average,quali_lap_std,quali_best_sector_1,quali_best_sector_2,quali_best_sector_3,quali_best_lap_gap,quali_median_lap_gap,quali_top3_average_gap,quali_best_sector_1_gap,quali_best_sector_2_gap,quali_best_sector_3_gap
2022,4,ALO,12,79.595,90.86,80.06633333333333,8.489080734667152,25.764,27.126,26.705,0.8019999999999925,11.299999999999997,0.7813333333333219,0.29199999999999804,0.2759999999999998,0.44899999999999807
2022,4,BOT,10,80.192,83.71549999999999,80.575,5.535060537659507,26.045,27.281,26.692,1.3989999999999867,4.155499999999989,1.289999999999992,0.5730000000000004,0.4309999999999974,0.43599999999999994
2022,4,GAS,5,80.732,82.559,81.52866666666667,7.390284987738972,26.39,27.254,27.088,1.938999999999993,2.9989999999999952,2.2436666666666554,0.9179999999999993,0.4039999999999999,0.8320000000000007
2022,4,HAM,7,80.47,81.556,80.94466666666666,4.683642436842345,25.979,27.379,27.057,1.6769999999999925,1.9959999999999951,1.6596666666666522,0.5069999999999979,0.5289999999999999,0.8009999999999984
2022,4,LAT,5,81.971,85.201,83.47833333333334,7.334917504648566,26.653,27.869,27.449,3.1779999999999973,5.640999999999991,4.193333333333328,1.1809999999999974,1.0189999999999984,1.1930000000000014
2022,4,LEC,7,78.796,79.649,79.30833333333334,3.5764043728436583,25.581,26.959,26.256,0.0030000000000001137,0.08899999999999864,0.023333333333326323,0.10899999999999821,0.10899999999999821,0.0
2022,4,MAG,8,79.902,83.2515,80.24133333333333,5.9273110200639385,26.027,27.081,26.767,1.1089999999999947,3.6914999999999907,0.956333333333319,0.5549999999999997,0.2309999999999981,0.5109999999999992
2022,4,MSC,8,80.422,87.3305,80.94766666666666,7.6157290700140585,25.96,27.376,26.804,1.6289999999999907,7.770499999999998,1.6626666666666523,0.48799999999999955,0.5259999999999998,0.5479999999999983
2022,4,NOR,6,79.294,80.8925,80.005,4.818572236669282,25.742,27.08,26.472,0.5009999999999906,1.332499999999996,0.7199999999999847,0.2699999999999996,0.22999999999999687,0.21600000000000108
2022,4,OCO,3,82.338,83.24,84.64633333333332,3.2484553765341104,26.48,28.024,27.834,3.5449999999999875,3.6799999999999926,5.361333333333306,1.0079999999999991,1.1739999999999995,1.5779999999999994
2022,4,PER,10,79.296,84.8975,80.07966666666668,6.1597164662380735,25.6,27.042,26.654,0.5030000000000001,5.3374999999999915,0.7946666666666715,0.1280000000000001,0.19200000000000017,0.3979999999999997
2022,4,RIC,7,79.98,82.336,80.22733333333333,6.168808845427825,25.795,27.212,26.708,1.1869999999999976,2.7759999999999962,0.9423333333333233,0.3230000000000004,0.3619999999999983,0.4519999999999982
2022,4,RUS,7,80.383,81.547,80.67566666666666,5.7266751967894765,26.019,27.458,26.882,1.5899999999999892,1.9869999999999948,1.3906666666666467,0.546999999999997,0.607999999999997,0.6260000000000012
2022,4,SAI,5,78.99,79.56,79.28500000000001,4.045234443144182,25.794,26.917,26.266,0.19699999999998852,0.0,0.0,0.3219999999999992,0.06700000000000017,0.00999999999999801
2022,4,STR,5,80.342,82.556,81.395,3.0195879354640422,25.81,27.197,27.23,1.5489999999999924,2.995999999999995,2.109999999999985,0.3379999999999974,0.34699999999999775,0.9740000000000002
2022,4,TSU,4,80.474,81.59700000000001,81.22266666666667,1.8120337331297107,26.331,27.339,26.804,1.6809999999999974,2.037000000000006,1.937666666666658,0.8589999999999982,0.4889999999999972,0.5479999999999983
2022,4,VER,10,78.793,86.581,79.479,8.141074532544486,25.472,26.85,26.471,0.0,7.021000000000001,0.1939999999999884,0.0,0.0,0.21499999999999986
2022,4,VET,10,79.957,88.803,80.67533333333334,7.967049076595981,25.833,27.322,26.799,1.1639999999999873,9.242999999999995,1.3903333333333308,0.3609999999999971,0.47199999999999775,0.5429999999999993
2022,4,ZHO,8,79.73,81.8295,80.40333333333332,5.949855362887885,25.729,27.408,26.593,0.9369999999999976,2.2694999999999936,1.118333333333311,0.2569999999999979,0.5579999999999998,0.33699999999999974
