season,round,driver,sprint_quali_lap_count,sprint_quali_best_lap,sprint_quali_median_lap,sprint_quali_top3_average,sprint_quali_lap_std,sprint_quali_best_sector_1,sprint_quali_best_sector_2,sprint_quali_best_sector_3,sprint_quali_best_lap_gap,sprint_quali_median_lap_gap,sprint_quali_top3_average_gap,sprint_quali_best_sector_1_gap,sprint_quali_best_sector_2_gap,sprint_quali_best_sector_3_gap
2024,6,ALB,3,89.112,89.858,99.45766666666667,17.277192200509127,30.063,34.016,25.033,1.5150000000000006,1.9819999999999993,11.51233333333333,1.0269999999999975,0.5779999999999959,0.10900000000000176
2024,6,ALO,4,88.189,88.3055,88.26666666666665,0.41537804066497114,29.299,33.596,25.072,0.5919999999999987,0.4294999999999902,0.32133333333331393,0.2629999999999981,0.15799999999999415,0.1479999999999997
2024,6,BOT,3,89.36,89.545,89.65500000000002,0.36273268394232255,29.968,33.994,25.266,1.7630000000000052,1.668999999999997,1.7096666666666778,0.9319999999999986,0.5559999999999974,0.34199999999999875
2024,6,GAS,4,89.185,103.8925,98.99000000000001,17.86350875154897,29.683,34.187,25.299,1.588000000000008,16.016499999999994,11.044666666666672,0.6469999999999985,0.7489999999999952,0.375
2024,6,HAM,4,88.371,88.76150000000001,88.63133333333333,0.27212864604815434,29.242,33.957,25.166,0.7740000000000009,0.8855000000000075,0.6859999999999928,0.20599999999999952,0.5189999999999984,0.24200000000000088
2024,6,HUL,5,88.33,88.772,88.526,0.5725336671323349,29.491,33.719,24.966,0.7330000000000041,0.8960000000000008,0.5806666666666587,0.4549999999999983,0.2809999999999988,0.04200000000000159
2024,6,LEC,6,87.749,88.436,88.02033333333333,0.5166323321925064,29.233,33.57,24.946,0.15200000000000102,0.5600000000000023,0.07499999999998863,0.19699999999999918,0.1319999999999979,0.022000000000002018
2024,6,MAG,7,88.377,89.376,88.78399999999999,16.946399499598723,29.569,33.744,24.972,0.7800000000000011,1.5,0.8386666666666542,0.5329999999999977,0.3059999999999974,0.04800000000000182
2024,6,NOR,4,87.597,88.2055,88.00266666666666,0.6684217106986723,29.112,33.438,24.924,0.0,0.3294999999999959,0.05733333333331814,0.07599999999999696,0.0,0.0
2024,6,OCO,8,88.379,103.5055,88.60733333333333,16.726960738686852,29.372,33.859,25.019,0.7820000000000107,15.629499999999993,0.6619999999999919,0.3359999999999985,0.4209999999999994,0.09499999999999886
2024,6,PER,3,87.865,87.876,88.14066666666666,0.4679747144166361,29.25,33.514,24.978,0.2680000000000007,0.0,0.19533333333332337,0.21399999999999864,0.07600000000000051,0.054000000000002046
2024,6,PIA,8,88.056,91.2425,88.12666666666667,15.931022435464891,29.227,33.609,24.977,0.4590000000000032,3.366500000000002,0.18133333333332757,0.19099999999999895,0.17099999999999937,0.053000000000000824
2024,6,RIC,4,88.044,88.411,88.28866666666666,0.6848203535721384,29.266,33.634,25.1,0.44700000000000273,0.5349999999999966,0.3433333333333195,0.22999999999999687,0.19599999999999795,0.17600000000000193
2024,6,RUS,4,88.343,88.4445,88.41066666666667,0.2953737745072631,29.301,33.849,25.134,0.7460000000000093,0.5685000000000002,0.4653333333333336,0.264999999999997,0.41099999999999426,0.21000000000000085
2024,6,SAI,6,88.103,88.3765,88.22766666666666,0.6081228220241947,29.208,33.593,25.047,0.5060000000000002,0.5004999999999882,0.28233333333332666,0.17199999999999704,0.15500000000000114,0.12300000000000111
2024,6,SAR,3,89.551,90.035,100.32666666666667,18.246450732494072,30.214,34.041,24.948,1.9540000000000077,2.158999999999992,12.38133333333333,1.1779999999999973,0.6029999999999944,0.02400000000000091
2024,6,STR,5,88.323,88.797,88.49833333333333,0.2849926314836931,29.541,33.725,25.0,0.7259999999999991,0.9209999999999923,0.5529999999999973,0.504999999999999,0.28699999999999903,0.07600000000000051
2024,6,TSU,3,88.687,88.736,88.779,0.11945291959596567,29.568,33.735,25.153,1.0900000000000034,0.8599999999999994,0.8336666666666588,0.532,0.29699999999999704,0.2289999999999992
2024,6,VER,4,87.641,88.0975,87.94533333333334,0.3999903123826849,29.036,33.623,24.961,0.04400000000001114,0.22149999999999181,0.0,0.0,0.18499999999999517,0.036999999999999034
2024,6,ZHO,4,89.267,102.6665,98.19999999999999,15.160831342640815,29.733,34.093,25.27,1.6700000000000017,14.790499999999994,10.254666666666651,0.6969999999999992,0.6550000000000011,0.3460000000000001
